Common Name,Order,Family,Species Name,States
Black Bear,Carnivora,Ursidae,Ursus americanus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Idaho, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, New Mexico, Nevada, New York, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Black-footed Ferret,Carnivora,Mustelidae,Mustela nigripes,"Kansas, Montana, Wyoming"
Black-tailed Jackrabbit,Lagomorpha,Leporidae,Lepus californicus,"Arkansas, Arizona, California, Colorado, Iowa, Idaho, Kansas, Louisiana, Missouri, Montana, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Black-tailed Prairie Dog,Rodentia_other,Sciuridae,Cynomys ludovicianus,"Arizona, Colorado, Kansas, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Blainville's Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon densirostris,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Rhode Island, South Carolina, Texas, Virginia"
Blue Whale,Artiodactyla,Balaenopteridae,Balaenoptera musculus,"Alabama, Alaska, California, Connecticut, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Bobcat,Carnivora,Felidae,Lynx rufus,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Botta's Pocket Gopher,Rodentia,Geomyidae,Thomomys bottae,"Arizona, California, Colorado, New Mexico, Nevada, Oregon, Texas, Utah"
Bottlenose Dolphin,Artiodactyla,Delphinidae,Tursiops truncatus,"Alabama, California, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, New Jersey, New York, North Carolina, South Carolina, Texas, Virginia"
Bowhead,Artiodactyla,Balaenidae,Balaena mysticetus,Alaska
Brazilian/Mexican Free-tailed Bat,Chiroptera,Molossidae,Tadarida brasiliensis,"Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Carolina, Texas, Utah"
